Annual Estimates of the Resident,,,
Population for Counties in Virginia: as of,Statewide,,Current
"July 1, 2019",Total =,,Allocation Base =
"","8,535,519",% of Total 1,"$744,691,122"
"",,,
"",,,
Locality,Population,,
".Accomack County, Virginia","32,316",0.3786%,"$2,819,446"
".Albemarle County, Virginia","109,330",1.2809%,"$9,538,621"
".Alleghany County, Virginia","14,860",0.1741%,"$1,296,478"
".Amelia County, Virginia","13,145",0.1540%,"$1,146,851"
".Amherst County, Virginia","31,605",0.3703%,"$2,757,414"
".Appomattox County, Virginia","15,911",0.1864%,"$1,388,173"
".Arlington County, Virginia","236,842",2.7748%,"$20,663,551"
".Augusta County, Virginia","75,558",0.8852%,"$6,592,144"
".Bath County, Virginia","4,147",0.0486%,"$361,810"
".Bedford County, Virginia","78,997",0.9255%,"$6,892,184"
".Bland County, Virginia","6,280",0.0736%,"$547,906"
".Botetourt County, Virginia","33,419",0.3915%,"$2,915,679"
".Brunswick County, Virginia","16,231",0.1902%,"$1,416,092"
".Buchanan County, Virginia","21,004",0.2461%,"$1,832,518"
".Buckingham County, Virginia","17,148",0.2009%,"$1,496,097"
".Campbell County, Virginia","54,885",0.6430%,"$4,788,505"
".Caroline County, Virginia","30,725",0.3600%,"$2,680,638"
".Carroll County, Virginia","29,791",0.3490%,"$2,599,150"
".Charles City County, Virginia","6,963",0.0816%,"$607,495"
".Charlotte County, Virginia","11,880",0.1392%,"$1,036,484"
".Chesterfield County, Virginia","352,802",4.1333%,"$30,780,614"
".Clarke County, Virginia","14,619",0.1713%,"$1,275,451"
".Craig County, Virginia","5,131",0.0601%,"$447,660"
".Culpeper County, Virginia","52,605",0.6163%,"$4,589,583"
".Cumberland County, Virginia","9,932",0.1164%,"$866,529"
".Dickenson County, Virginia","14,318",0.1677%,"$1,249,190"
".Dinwiddie County, Virginia","28,544",0.3344%,"$2,490,354"
".Essex County, Virginia","10,953",0.1283%,"$955,607"
".Fairfax County, Virginia","1,147,532",13.4442%,N/A
".Fauquier County, Virginia","71,222",0.8344%,"$6,213,845"
".Floyd County, Virginia","15,749",0.1845%,"$1,374,040"
".Fluvanna County, Virginia","27,270",0.3195%,"$2,379,202"
".Franklin County, Virginia","56,042",0.6566%,"$4,889,448"
".Frederick County, Virginia","89,313",1.0464%,"$7,792,215"
".Giles County, Virginia","16,720",0.1959%,"$1,458,756"
".Gloucester County, Virginia","37,348",0.4376%,"$3,258,469"
".Goochland County, Virginia","23,753",0.2783%,"$2,072,358"
".Grayson County, Virginia","15,550",0.1822%,"$1,356,678"
".Greene County, Virginia","19,819",0.2322%,"$1,729,131"
".Greensville County, Virginia","11,336",0.1328%,"$989,022"
".Halifax County, Virginia","33,911",0.3973%,"$2,958,604"
".Hanover County, Virginia","107,766",1.2626%,"$9,402,168"
".Henrico County, Virginia","330,818",3.8758%,"$28,862,595"
".Henry County, Virginia","50,557",0.5923%,"$4,410,903"
".Highland County, Virginia","2,190",0.0257%,"$191,069"
".Isle of Wight County, Virginia","37,109",0.4348%,"$3,237,617"
".James City County, Virginia","76,523",0.8965%,"$6,676,337"
".King and Queen County, Virginia","7,025",0.0823%,"$612,904"
".King George County, Virginia","26,836",0.3144%,"$2,341,338"
".King William County, Virginia","17,148",0.2009%,"$1,496,097"
".Lancaster County, Virginia","10,603",0.1242%,"$925,071"
".Lee County, Virginia","23,423",0.2744%,"$2,043,566"
".Loudoun County, Virginia","413,538",4.8449%,"$36,079,596"
".Louisa County, Virginia","37,591",0.4404%,"$3,279,670"
".Lunenburg County, Virginia","12,196",0.1429%,"$1,064,054"
".Madison County, Virginia","13,261",0.1554%,"$1,156,971"
".Mathews County, Virginia","8,834",0.1035%,"$770,732"
".Mecklenburg County, Virginia","30,587",0.3583%,"$2,668,598"
".Middlesex County, Virginia","10,582",0.1240%,"$923,239"
".Montgomery County, Virginia","98,535",1.1544%,"$8,596,799"
".Nelson County, Virginia","14,930",0.1749%,"$1,302,585"
".New Kent County, Virginia","23,091",0.2705%,"$2,014,601"
".Northampton County, Virginia","11,710",0.1372%,"$1,021,652"
".Northumberland County, Virginia","12,095",0.1417%,"$1,055,242"
".Nottoway County, Virginia","15,232",0.1785%,"$1,328,933"
".Orange County, Virginia","37,051",0.4341%,"$3,232,557"
".Page County, Virginia","23,902",0.2800%,"$2,085,357"
".Patrick County, Virginia","17,608",0.2063%,"$1,536,230"
".Pittsylvania County, Virginia","60,354",0.7071%,"$5,265,654"
